dist,lon,lat,depth_m
7.232829979,-39.50475249,24.046299,-5283
7.249768691,-39.48807153,24.0433553,-5304
7.266707403,-39.47139056,24.0404116,-5280
7.283646114,-39.4547096,24.0374679,-5292
7.300584826,-39.43802863,24.0345242,-5374
7.317523538,-39.42134767,24.0315805,-5432
7.33446225,-39.4046667,24.0286368,-5378
7.351400962,-39.38798574,24.0256931,-5282
7.368339674,-39.37130477,24.0227494,-5303
7.385278386,-39.35462381,24.0198057,-5281
7.402217098,-39.33794284,24.016862,-5224
7.41915581,-39.32126188,24.0139183,-5170
7.436094521,-39.30458091,24.0109746,-5147
7.453033233,-39.28789995,24.0080309,-5150
7.469971945,-39.27121898,24.0050872,-5085
7.486910657,-39.25453802,24.0021435,-4990
7.503849369,-39.23785705,23.9991998,-4881
7.520788081,-39.22117609,23.9962561,-4816
7.537726793,-39.20449512,23.9933124,-4859
7.554665505,-39.18781416,23.9903687,-5039
7.571604217,-39.17113319,23.987425,-5152
7.588542929,-39.15445223,23.9844813,-5235
7.60548164,-39.13777126,23.9815376,-5218
7.622420352,-39.1210903,23.9785939,-5189
7.639359064,-39.10440933,23.9756502,-5305
7.656297776,-39.08772837,23.9727065,-5397
7.673236488,-39.0710474,23.9697628,-5431
7.6901752,-39.05436644,23.9668191,-5399
7.707113912,-39.03768547,23.9638754,-5312
7.724052624,-39.02100451,23.9609317,-5182
7.740991336,-39.00432354,23.957988,-5017
7.757930047,-38.98764258,23.9550443,-4862
7.774868759,-38.97096161,23.9521006,-4764
7.791807471,-38.95428065,23.9491569,-4700
7.808746183,-38.93759968,23.94621321,-4667
7.825684895,-38.92091872,23.94326951,-4653
7.842623607,-38.90423775,23.94032581,-4810
7.859562319,-38.88755679,23.93738211,-4844
7.876501031,-38.87087582,23.93443841,-4906
7.893439743,-38.85419486,23.93149471,-4855
7.910378455,-38.83751389,23.92855101,-4551
7.927317166,-38.82083293,23.92560731,-4268
7.944255878,-38.80415196,23.92266361,-4556
7.96119459,-38.787471,23.91971991,-4748
7.978133302,-38.77079003,23.91677621,-4781
7.995072014,-38.75410907,23.91383251,-4743
8.012010726,-38.7374281,23.91088881,-4830
8.028949438,-38.72074714,23.90794511,-5051
8.04588815,-38.70406617,23.90500141,-5163
8.062826862,-38.68738521,23.90205771,-5308
8.079765573,-38.67070424,23.89911401,-5448
8.096704285,-38.65402328,23.89617031,-5561
8.113642997,-38.63734231,23.89322661,-5594
8.130581709,-38.62066135,23.89028291,-5608
8.147520421,-38.60398038,23.88733921,-5613
8.164459133,-38.58729942,23.88439551,-5604
8.181397845,-38.57061845,23.88145181,-5246
8.198336557,-38.55393749,23.87850811,-4891
8.215275269,-38.53725652,23.87556441,-4680
8.232213981,-38.52057556,23.87262071,-4505
8.249152692,-38.50389459,23.86967701,-4600
8.266091404,-38.48721363,23.86673331,-4806
8.283030116,-38.47053266,23.86378961,-5063
8.299968828,-38.4538517,23.86084591,-5298
8.31690754,-38.43717073,23.85790221,-5423
8.333846252,-38.42048977,23.85495851,-5516
8.350784964,-38.4038088,23.85201481,-5569
8.367723676,-38.38712784,23.84907111,-5523
8.384662388,-38.37044687,23.84612742,-5265
8.401601099,-38.35376591,23.84318372,-4982
8.418539811,-38.33708494,23.84024002,-4868
8.435478523,-38.32040398,23.83729632,-4844
8.452417235,-38.30372301,23.83435262,-4819
8.469355947,-38.28704205,23.83140892,-4816
8.486294659,-38.27036108,23.82846522,-4875
8.503233371,-38.25368012,23.82552152,-4965
8.520172083,-38.23699915,23.82257782,-5145
8.537110795,-38.22031819,23.81963412,-5205
8.554049506,-38.20363722,23.81669042,-4994
8.570988218,-38.18695626,23.81374672,-4805
8.58792693,-38.17027529,23.81080302,-4790
8.604865642,-38.15359433,23.80785932,-4952
8.621804354,-38.13691336,23.80491562,-5209
8.638743066,-38.1202324,23.80197192,-5433
8.655681778,-38.10355143,23.79902822,-5485
8.67262049,-38.08687047,23.79608452,-5451
8.689559202,-38.0701895,23.79314082,-5406
8.706497914,-38.05350854,23.79019712,-5360
8.723436625,-38.03682757,23.78725342,-5460
8.740375337,-38.02014661,23.78430972,-5537
8.757314049,-38.00346564,23.78136602,-5522
8.774252761,-37.98678468,23.77842232,-5466
8.791191473,-37.97010371,23.77547862,-5403
8.808130185,-37.95342275,23.77253492,-5427
8.825068897,-37.93674178,23.76959122,-5409
8.842007609,-37.92006082,23.76664752,-5456
8.858946321,-37.90337985,23.76370382,-5582
8.875885032,-37.88669889,23.76076012,-5737
8.892823744,-37.87001792,23.75781642,-6006
8.909762456,-37.85333696,23.75487272,-6104
8.926701168,-37.83665599,23.75192902,-6186
8.94363988,-37.81997503,23.74898533,-6251
8.960578592,-37.80329406,23.74604163,-6291
8.977517304,-37.7866131,23.74309793,-6293
8.994456016,-37.76993213,23.74015423,-6245
9.011394728,-37.75325117,23.73721053,-6164
9.02833344,-37.7365702,23.73426683,-6142
9.045272151,-37.71988924,23.73132313,-6171
9.062210863,-37.70320827,23.72837943,-6219
9.079149575,-37.68652731,23.72543573,-6202
9.096088287,-37.66984634,23.72249203,-5965
9.113026999,-37.65316538,23.71954833,-5747
9.129965711,-37.63648441,23.71660463,-5767
9.146904423,-37.61980345,23.71366093,-5878
9.163843135,-37.60312248,23.71071723,-5965
9.180781847,-37.58644152,23.70777353,-6020
9.197720558,-37.56976055,23.70482983,-6073
9.21465927,-37.55307959,23.70188613,-6074
9.231597982,-37.53639862,23.69894243,-6008
9.248536694,-37.51971766,23.69599873,-5959
9.265475406,-37.50303669,23.69305503,-5993
9.282414118,-37.48635573,23.69011133,-5921
9.29935283,-37.46967476,23.68716763,-5936
9.316291542,-37.4529938,23.68422393,-5903
9.333230254,-37.43631283,23.68128023,-5801
9.350168966,-37.41963187,23.67833653,-5669
9.367107677,-37.4029509,23.67539283,-5529
9.384046389,-37.38626994,23.67244913,-5268
9.400985101,-37.36958897,23.66950543,-5172
9.417923813,-37.35290801,23.66656173,-5094
9.434862525,-37.33622704,23.66361803,-5031
9.451801237,-37.31954608,23.66067433,-4991
9.468739949,-37.30286511,23.65773063,-4958
9.485678661,-37.28618415,23.65478693,-5018
9.502617373,-37.26950318,23.65184323,-5136
9.519556084,-37.25282222,23.64889954,-5249
9.536494796,-37.23614125,23.64595584,-5290
9.553433508,-37.21946029,23.64301214,-5290
9.57037222,-37.20277932,23.64006844,-5255
9.587310932,-37.18609836,23.63712474,-5197
9.604249644,-37.16941739,23.63418104,-5159
9.621188356,-37.15273643,23.63123734,-5160
9.638127068,-37.13605546,23.62829364,-5220
9.65506578,-37.1193745,23.62534994,-5317
9.672004491,-37.10269353,23.62240624,-5439
9.688943203,-37.08601257,23.61946254,-5564
9.705881915,-37.0693316,23.61651884,-5709
9.722820627,-37.05265064,23.61357514,-5819
9.739759339,-37.03596967,23.61063144,-5839
9.756698051,-37.01928871,23.60768774,-5860
9.773636763,-37.00260774,23.60474404,-5819
9.790575475,-36.98592678,23.60180034,-5768
9.807514187,-36.96924581,23.59885664,-5706
9.824452899,-36.95256485,23.59591294,-5636
9.84139161,-36.93588388,23.59296924,-5572
9.858330322,-36.91920292,23.59002554,-5516
9.875269034,-36.90252195,23.58708184,-5565
9.892207746,-36.88584099,23.58413814,-5642
9.909146458,-36.86916002,23.58119444,-5731
9.92608517,-36.85247906,23.57825074,-5804
9.943023882,-36.83579809,23.57530704,-5866
9.959962594,-36.81911713,23.57236334,-6012
9.976901306,-36.80243616,23.56941964,-5981
9.993840017,-36.7857552,23.56647594,-5930
10.01077873,-36.76907423,23.56353224,-5908
10.02771744,-36.75239327,23.56058854,-5904
10.04465615,-36.7357123,23.55764484,-5945
10.06159487,-36.71903134,23.55470114,-5906
10.07853358,-36.70235038,23.55175744,-5855
10.09547229,-36.68566941,23.54881375,-5788
10.112411,-36.66898845,23.54587005,-5720
10.12934971,-36.65230748,23.54292635,-5651
10.14628842,-36.63562652,23.53998265,-5503
10.16322714,-36.61894555,23.53703895,-5443
10.18016585,-36.60226459,23.53409525,-5422
10.19710456,-36.58558362,23.53115155,-5437
10.21404327,-36.56890266,23.52820785,-5485
10.23098198,-36.55222169,23.52526415,-5551
